100
3 3
17 26 678
4 37 91457
31 43 27474
6 23 14703
7 42 90497
32 37 6781
14 32 68780
42 45 15099
15 36 37513
13 21 47219
6 48 56137
15 38 17255
10 23 32431
39 41 8045
15 43 56476
2 4 33936
36 40 41189
7 12 31344
30 38 32258
5 20 27441
33 42 49056
23 44 60720
10 43 96345
18 33 99190
10 40 47760
30 44 16009
6 40 61502
27 49 79314
5 40 24676
32 42 48892
42 46 34313
9 17 6126
5 12 220
27 37 33354
39 48 82936
12 48 51646
17 47 82543
13 28 33300
24 26 83880
9 33 25170
43 49 23016
16 42 55762
20 26 22929
18 27 30637
7 8 14325
8 11 30443
24 36 39794
26 37 58395
7 21 68897
10 29 10850
6 11 91698
19 20 2567
18 45 37086
14 37 4397
30 47 13296
18 40 694
15 48 66502
45 46 39777
24 31 54188
10 12 13679
4 15 6051
9 12 44837
13 48 79761
14 26 55605
15 45 75144
16 49 23723
5 50 33727
13 45 74396
16 38 39039
19 34 34054
13 42 30417
3 26 12819
20 38 52426
10 44 87961
44 48 7953
43 50 78482
19 46 56167
11 12 38129
14 18 43641
6 50 49891
10 42 7011
8 40 13347
3 11 45014
8 17 69120
26 47 91417
5 16 82671
14 16 9379
7 44 74184
17 49 62097
18 41 44018
12 40 81875
6 25 23147
18 46 28672
14 19 47046
2 48 83052
2 6 53846
17 28 47831
27 48 29620
43 48 58973
5 13 24390
32 38 15533
10 41 64491
16 22 30446
9 30 77280
34 44 96067
10 14 18401
16 19 70761
18 32 74378
18 31 90036
3 44 8097
22 45 10841
11 31 47448
24 27 57029
11 48 4927
18 43 3469
3 4 9377
22 48 98477
44 50 13082
24 46 86229
21 33 83583
36 48 23673
30 43 65400
1 11 28312
1 5 36112
19 49 20546
13 31 96030
19 32 80065
4 14 4808
15 46 23576
3 40 55870
28 50 5370
24 28 98032
21 25 81928
19 39 34160
5 19 32503
18 21 71456
28 41 48138
26 39 41882
18 35 97744
9 10 23608
12 39 52552
25 49 87305
10 48 78751
15 30 76825
19 43 62256
32 39 86060
16 29 37217
22 47 78533
24 42 82916
13 29 83877
32 41 25504
32 44 75596
22 39 73647
19 36 17559
35 36 28311
5 42 26800
3 30 31464
5 17 17176
3 12 73842
20 32 73195
34 43 85758
28 38 1714
17 45 66949
28 46 90049
6 10 83562
44 49 8690
8 48 14679
29 41 66934
29 32 92642
30 48 54001
13 46 81756
27 42 37363
27 44 21539
5 25 22124
2 16 49299
4 43 57882
8 10 95877
24 40 65999
19 33 8680
12 16 62161
1 13 54170
7 13 78941
34 48 27185
34 39 89789
6 36 50113
16 17 93178
35 38 11519
23 41 51691
16 36 73093
28 49 8704
26 34 51286
5 41 55445
30 34 84903
41 46 87930
21 38 4062
7 25 30312
9 45 65927
19 50 13319
20 43 91611
19 22 12434
8 34 5048
1 41 30504
12 46 12268
41 43 13793
10 32 84642
2 32 96073
43 45 14016
30 45 90871
2 22 91465
37 41 80649
24 48 53698
11 34 18932
20 49 59040
3 14 51606
29 50 48793
2 42 70850
18 19 37895
34 36 66131
13 38 56891
13 36 98250
2 38 1624
36 42 94103
15 33 45105
12 45 4711
15 39 2863
29 35 92419
25 29 15475
31 38 55015
20 50 29929
33 39 28716
46 49 42295
3 35 40828
11 25 88507
23 38 26293
20 37 7864
26 41 34404
14 21 76993
47 49 14047
14 15 16568
38 42 54637
15 29 69231
22 33 28697
5 34 3567
34 35 32450
4 23 10237
35 39 36356
36 49 21408
33 46 72673
33 47 7533
11 40 58343
26 46 75887
21 50 26626
17 25 45931
25 40 78165
21 22 80465
8 41 62076
13 15 10266
23 27 60358
28 32 50357
19 45 15670
17 42 93484
1 9 48414
12 25 52479
26 49 88014
38 43 10775
11 30 92787
11 32 4417
12 35 67292
33 45 68864
47 50 84275
40 45 16537
9 27 82218
9 40 78250
6 18 66077
50 349
31 33 37336
34 46 62350
31 50 62600
35 46 41038
37 49 52991
13 48 13772
10 34 74051
38 43 17568
20 34 51492
36 37 99274
38 47 37617
13 41 33583
46 50 86232
4 33 7230
22 26 3747
16 39 57672
41 45 29028
16 35 82116
8 14 88803
35 43 81027
20 46 74396
6 17 33580
19 35 83324
18 31 12593
25 44 12732
37 48 11740
13 49 77150
22 32 71118
16 31 9090
2 30 57007
32 34 28217
11 30 19751
42 49 16205
24 47 63418
7 29 535
22 36 70984
27 35 70345
15 16 5351
11 24 36832
14 31 14333
34 42 13017
11 27 2778
10 19 4
23 29 92473
2 11 96167
34 43 65100
25 48 6179
27 33 67391
35 50 48520
12 22 46269
13 36 92828
34 47 93390
32 50 76919
15 49 31267
37 43 94376
9 39 5793
6 18 76856
28 45 28031
16 38 43244
7 11 95788
13 46 24666
29 36 21015
14 50 14693
3 36 31001
2 26 63112
4 23 10541
8 19 33554
15 47 86808
34 49 2245
9 30 25319
7 16 6469
1 18 94058
28 35 83053
2 41 70697
29 33 17233
11 19 72120
19 36 66095
21 37 61704
1 7 83558
1 9 32523
25 42 36685
44 45 70250
43 50 40664
25 47 84490
13 40 4152
1 10 45066
9 34 65097
44 48 21904
15 37 3154
9 24 60998
6 14 53892
36 44 27500
3 33 3723
3 18 11482
8 23 97186
9 17 22667
12 46 54687
27 29 1357
22 45 31814
14 43 23856
9 33 92841
29 44 30667
27 50 34522
8 30 81940
17 34 58397
5 22 33515
37 40 62709
10 46 88982
3 26 20561
4 31 73196
6 11 52552
3 14 32340
9 38 36841
8 43 19079
17 42 98672
37 45 93664
15 36 2212
17 41 75684
11 47 86027
9 36 758
17 21 87480
18 29 12185
3 43 3629
4 49 17254
23 37 6077
11 32 3967
7 24 5085
10 26 7081
10 14 30276
46 48 2791
6 40 42284
5 50 39597
7 26 18119
2 20 36526
43 46 84544
32 37 53714
1 47 74830
9 46 93112
24 31 6309
27 47 43216
19 45 90434
11 29 42040
4 29 83987
35 36 55514
9 29 44944
19 49 5835
2 37 29838
12 16 66595
16 17 24105
3 45 40090
18 46 26720
22 29 7732
5 39 95038
2 14 65390
5 24 67023
14 26 31667
15 20 18276
2 4 2165
20 44 3949
6 39 4858
4 27 34043
20 35 61181
16 23 53190
11 50 81693
16 41 60093
31 34 74595
22 31 12306
30 32 58237
6 15 6241
27 36 4236
12 40 86401
14 16 28063
3 27 46520
26 29 62567
17 24 74083
16 43 56635
11 37 49022
22 49 52621
11 12 98566
15 18 48898
19 25 39071
47 48 39060
9 43 39112
7 37 70610
30 44 41321
29 48 1146
28 42 31991
6 24 99602
16 28 52351
10 25 53114
14 18 32123
26 44 45990
5 26 31984
44 49 59158
14 17 74415
27 32 72199
7 50 95795
19 24 63681
15 22 82279
2 50 22614
36 48 55668
22 23 40991
2 35 72122
11 43 24016
28 34 4057
12 43 39058
3 17 83551
37 46 40958
1 6 30876
13 20 95663
2 32 86356
6 7 5773
22 40 25866
22 43 41989
4 38 28500
1 40 82209
31 40 34227
34 37 32480
15 32 14799
14 25 59645
18 26 71064
18 37 38134
6 8 92873
32 49 70176
26 48 65592
10 12 60642
26 46 51390
31 36 56863
28 31 71544
1 31 57213
6 26 35914
34 39 50408
14 39 38338
14 35 39193
39 50 16385
4 24 89639
28 29 55189
33 39 35638
30 33 24992
20 30 75734
7 28 32382
8 22 4749
6 36 94279
40 43 83256
12 18 54183
21 41 18001
14 28 82644
3 28 59235
38 42 48213
10 20 45136
39 41 94042
10 44 43597
19 43 72265
5 40 58302
29 31 15757
12 42 7918
9 28 97983
2 9 20257
5 13 70375
11 44 29444
6 50 27017
30 37 13749
23 36 26798
33 41 83251
13 33 69541
19 22 690
20 50 10606
23 48 11293
35 42 15104
15 35 85785
24 42 98115
9 26 52548
17 35 30819
10 42 88560
40 49 716
30 40 2067
43 44 65725
1 48 20890
6 45 847
12 37 82524
13 44 86201
3 6 24731
1 42 78961
24 28 92731
3 8 44426
21 29 34500
7 38 89836
42 43 21623
18 19 12580
1 25 50270
5 30 71831
19 40 15608
1 44 91816
6 37 54191
3 15 27189
17 23 94688
20 27 6322
2 38 4534
35 38 34452
11 21 37453
18 25 34685
11 20 47982
30 39 23164
34 44 96925
5 49 6178
24 26 49661
8 47 5913
11 16 21717
4 32 16428
11 36 17344
4 10 92656
15 34 30522
25 35 8149
34 45 63860
27 28 48210
45 46 48556
24 41 40245
8 50 72314
21 31 49955
29 40 48539
30 36 13586
14 45 24321
21 39 50900
21 49 69498
23 41 28829
6 35 26502
28 47 87498
16 32 47969
3 30 37645
18 47 88962
34 36 77446
19 48 63943
16 21 91277
15 28 52690
39 47 18227
3 46 89512
14 32 19873
7 8 7313
23 32 16129
18 43 5358
18 36 77839
3 12 49392
30 41 81773
41 49 18047
31 45 61632
32 48 6150
25 28 42849
38 44 31745
26 47 95228
50 917
17 31 17254
15 46 95134
26 44 67053
11 13 47758
15 25 56613
11 19 92827
24 29 22237
5 25 99499
7 33 9475
1 48 36659
1 36 4683
5 38 14153
1 23 54127
13 39 95316
22 43 57388
17 43 48467
14 49 39188
10 18 90436
19 50 18290
23 29 47963
4 25 86141
1 13 99977
4 47 94417
12 29 19748
25 41 38663
1 15 21451
22 42 91823
39 40 77028
17 37 74238
22 38 71597
41 43 38588
5 34 48199
14 37 89525
21 43 16
16 49 29355
13 28 16315
3 50 97618
15 50 87480
26 35 10264
5 11 4331
2 20 47822
7 18 71147
4 36 50232
32 42 59308
19 30 99321
35 40 70378
5 22 52827
5 33 63132
22 35 93792
19 37 68706
6 47 38943
32 46 57508
10 22 29917
26 45 83123
14 46 76495
25 32 60503
18 30 10982
19 20 63925
23 43 17797
39 47 97643
4 7 47462
16 42 73243
1 5 13137
47 50 99158
11 25 52904
16 43 74256
43 46 26627
15 47 11276
14 25 14577
15 22 96715
4 24 17790
16 45 40856
8 9 95292
18 44 32025
7 36 21207
27 41 83197
38 49 53863
1 47 94374
23 49 64617
2 7 82396
27 33 78549
2 42 68735
32 33 94059
27 49 85653
10 49 57404
46 49 3733
32 38 23663
17 34 11917
2 4 84522
42 48 23580
11 34 21211
3 37 13215
27 45 65947
21 32 92261
8 12 56433
3 4 42762
27 48 12183
20 39 62429
8 47 72458
19 24 6796
12 48 97201
7 19 32424
14 34 27816
27 43 11390
35 41 72327
9 44 46996
9 50 7146
17 44 30256
2 26 67577
33 45 99656
22 45 1159
13 22 84058
16 19 46044
2 44 80485
15 32 28016
12 49 27953
7 22 29357
2 50 13505
27 50 89462
6 24 92323
14 50 1036
13 46 23264
14 16 19910
10 50 41162
1 43 93501
12 43 4601
13 42 21993
33 42 63931
34 35 26976
19 28 62054
14 33 85795
31 40 77624
17 39 42503
27 31 21134
20 43 12316
11 33 79899
3 36 74766
1 2 31243
4 41 88890
3 5 65531
29 39 44665
40 48 702
28 41 5810
25 42 76388
37 43 19433
18 37 30653
24 48 73006
11 49 7867
3 44 44436
37 47 37397
8 22 91390
15 44 7353
10 37 72017
29 45 1863
10 29 55698
21 30 91743
18 33 71537
27 38 30223
4 28 21953
20 50 9142
30 41 87006
1 10 44514
19 34 46529
6 45 43281
15 29 80758
20 42 65853
3 7 79914
49 50 28257
23 46 65709
10 25 38405
5 17 15070
6 14 35597
6 32 8896
21 40 38257
5 15 72791
18 49 1027
1 39 39618
30 37 49230
31 32 51623
35 39 44616
20 23 3123
5 41 14365
26 46 34295
9 25 35775
31 47 48376
7 29 58444
34 37 62285
25 39 27731
12 46 95042
21 37 42918
40 49 20679
41 42 8017
1 35 17353
4 38 33730
16 29 67661
1 50 84409
29 48 9070
12 41 46404
45 48 35193
20 30 64170
17 35 5266
5 26 13045
13 25 73663
7 37 66953
7 38 30698
40 47 39817
43 47 65128
12 23 13246
31 48 21606
8 16 89839
18 29 23660
1 32 900
12 32 11013
1 26 92057
27 28 83781
21 25 46623
2 17 98734
10 30 33860
35 38 95617
5 29 22649
8 19 87651
10 36 25280
35 49 35596
9 45 90184
12 14 56992
8 40 26783
23 50 41195
14 40 48033
7 30 70903
20 49 12228
20 34 29442
24 49 80241
2 31 76510
10 34 29169
30 39 80065
7 8 8669
18 35 68462
2 13 43321
26 41 43422
42 43 63243
35 37 81443
12 34 45344
2 28 66365
14 38 32283
13 33 94742
23 35 23296
4 12 29506
18 45 80821
23 42 12972
8 24 69962
43 50 10496
43 48 51730
17 47 17034
1 44 92095
39 41 91422
23 48 10122
37 45 46466
22 41 16063
37 44 33669
21 27 3268
16 34 38942
19 32 77119
13 31 19599
17 49 29278
22 48 25643
3 40 27243
13 20 63378
35 48 98950
18 24 40680
15 42 8749
10 32 43625
6 17 28759
28 31 18700
3 15 67880
13 14 92043
28 40 92576
28 35 47182
30 49 64209
17 19 38520
5 32 439
3 17 57063
5 50 55452
26 50 9448
6 38 46149
4 15 87194
35 43 44304
5 48 88703
29 34 20096
5 36 26139
8 13 27859
23 34 32003
24 50 46658
14 42 30920
11 17 92135
2 35 19185
12 50 55141
17 45 33294
6 29 3702
15 34 37136
29 30 20498
26 34 59684
19 27 65155
31 39 73116
3 48 12453
23 41 76323
5 21 98724
7 46 90422
9 23 30661
6 31 40724
13 30 39573
18 41 16678
1 41 20063
21 45 46197
19 48 81404
34 50 5989
22 34 18426
25 40 1550
13 19 71563
4 17 78292
44 47 1509
4 48 1232
22 36 51058
32 36 51351
4 32 86154
3 25 91733
12 24 64987
4 10 69076
5 31 99036
27 29 45569
25 31 84101
7 49 43934
1 49 35501
3 42 39755
5 24 56726
34 44 33343
16 27 29325
11 28 67470
29 40 42990
22 47 5305
15 21 61585
5 27 96980
17 46 10414
2 9 18796
24 44 2361
3 39 47067
12 17 84536
10 46 76704
6 10 16672
11 26 62173
33 43 9761
16 32 60742
48 49 95794
17 38 39544
31 43 75460
17 22 14447
7 45 40246
5 20 3856
43 45 39978
35 50 75888
30 45 88973
7 32 52033
9 35 2569
9 14 93060
3 14 61531
14 28 97330
17 36 32862
11 30 94173
12 35 95371
1 34 8495
20 22 29690
23 27 81576
30 33 63229
24 30 38817
6 46 67087
20 28 91587
2 49 22508
16 26 22901
10 24 49999
23 45 63896
32 43 63789
32 47 26120
5 39 64188
11 15 72992
10 28 34053
28 44 13700
7 20 71503
14 32 66063
13 34 87449
20 37 82365
28 34 24411
12 44 93419
37 50 24895
9 12 12310
12 36 79772
9 21 52566
27 32 81169
7 23 44696
4 33 62422
11 47 11977
18 26 21497
48 50 87873
20 29 44428
13 24 27187
34 39 21265
23 38 68661
5 40 49218
2 6 63
4 49 73469
28 50 63537
33 40 62886
17 30 34736
4 46 58293
11 41 4890
16 24 4781
7 24 52036
33 50 45987
34 42 73417
13 37 59475
25 35 72472
4 27 41364
12 47 8457
24 47 98084
7 43 21720
18 20 8671
9 26 4354
18 36 23744
28 43 46090
7 28 84544
9 29 53208
2 36 94560
41 46 42361
6 12 19944
5 9 96750
14 24 18679
24 41 11701
1 25 14889
3 20 46962
2 18 50453
8 50 68931
4 26 1857
10 19 44487
37 39 456
29 49 68210
25 44 10189
2 37 65987
12 15 18650
10 48 12278
24 45 96926
35 42 75545
33 37 81823
19 29 90049
12 27 67476
15 16 96356
39 42 25990
42 49 60161
40 50 35117
25 34 70095
13 48 35778
13 40 258
34 45 57414
16 46 79147
4 20 7417
14 39 47044
20 26 66543
32 44 66241
23 31 84773
26 47 80296
21 33 55094
38 41 92793
3 11 72064
3 29 52426
4 45 4212
22 33 25780
5 16 66415
31 41 37359
24 39 74137
3 31 8280
11 32 16784
5 45 24854
1 37 34669
3 6 489
2 47 33317
16 47 81226
32 50 4590
30 40 61391
18 42 26727
26 37 61203
12 39 65558
1 20 3458
29 41 19827
28 36 89928
27 35 7758
26 42 91210
33 49 13342
27 47 95153
16 39 85806
16 23 40419
4 13 50113
26 28 98647
29 43 93865
14 18 50108
2 24 80884
11 18 97462
26 31 84832
20 45 18123
14 41 20247
3 45 92125
28 42 93690
17 26 41410
2 34 37027
32 49 67521
29 42 48722
7 50 37505
29 50 97726
34 46 49175
42 44 61666
5 28 49406
15 36 94595
25 37 20718
13 21 19475
38 43 20324
3 26 63413
6 13 13141
39 50 76922
29 38 34632
14 29 73669
44 48 86990
13 17 79518
15 39 33179
3 22 62884
12 33 72372
4 18 59479
10 31 94895
16 35 27038
10 16 72692
7 39 60680
6 50 33390
21 36 43671
21 38 92110
26 49 15534
8 37 49539
2 27 9385
15 33 52869
42 47 98637
2 41 31267
15 20 56453
21 28 22151
5 8 44849
45 50 33764
8 49 14107
26 27 89433
18 34 81080
12 18 29781
8 21 40535
13 35 90309
27 36 2929
8 20 9359
30 31 28696
4 30 1121
22 32 22683
31 42 89078
5 35 11831
19 40 31087
21 22 24272
2 46 29799
5 42 54000
14 31 26093
7 10 324
9 17 34522
35 46 9697
3 35 23504
8 31 68710
14 26 2607
3 46 82807
15 49 73186
6 11 37231
6 22 62900
15 45 14571
13 23 99928
10 35 46431
8 46 42588
21 35 44749
36 47 64338
12 19 9484
7 48 20469
1 8 35455
33 35 93857
15 35 57608
13 32 51349
25 33 6769
20 47 54585
29 46 78357
34 36 332
6 28 36474
19 22 64330
10 40 60736
31 49 9155
19 44 63874
5 14 35407
38 50 64930
8 44 38608
27 42 44507
9 10 62821
26 43 94710
19 33 36546
6 18 58856
8 28 74284
24 38 50961
28 49 73700
11 42 37943
4 14 74707
3 23 90634
29 35 24020
15 40 91670
33 44 89818
18 31 79719
37 38 13222
42 46 43058
3 32 47701
46 50 91092
24 32 38690
22 27 30822
3 18 59452
9 19 27665
17 32 42193
33 34 9518
46 48 81757
39 48 34267
28 47 62366
14 27 11579
2 38 44620
4 6 75884
3 28 69658
2 10 16091
24 26 77054
1 40 59644
40 42 13203
12 21 87602
5 23 46370
30 46 96138
22 39 97794
31 33 55777
16 17 7279
39 49 41112
25 27 34327
11 50 83637
6 49 3465
38 40 26568
40 43 115
30 47 70089
25 36 63839
13 49 2980
34 41 93151
30 50 68209
3 41 27717
15 41 31089
36 45 9567
24 25 90144
31 45 93271
23 37 15664
24 43 9464
2 40 4865
12 38 5563
21 23 4808
6 33 38303
30 36 75526
23 26 3118
22 46 48359
16 41 89122
44 49 54974
17 20 16411
4 39 33632
25 47 28045
2 21 93929
6 34 59714
14 47 56171
16 21 97322
12 31 76259
1 19 58594
20 35 95035
20 40 76096
8 18 92097
20 31 12445
19 35 18395
7 44 89611
11 24 26598
8 43 69581
37 42 20747
5 43 76740
8 17 44105
10 12 99306
10 27 93845
33 36 42282
36 42 29971
4 16 12723
10 20 59863
21 26 12714
23 32 37939
18 27 92349
14 35 64859
4 42 87572
13 36 95087
5 6 90637
8 10 80780
47 48 30540
8 48 49944
20 46 47538
8 42 18488
13 45 18047
1 6 70060
11 45 96062
33 38 7292
10 15 39556
7 47 78663
1 22 1752
19 41 55822
9 42 69313
23 25 96751
36 39 55419
3 30 67743
18 38 18932
9 20 33315
2 43 25863
17 48 6742
22 28 2708
1 21 43534
6 37 19499
9 32 4833
22 37 84441
23 44 57447
30 38 14990
39 46 71703
4 43 1421
17 41 25721
34 40 59441
22 30 92748
33 39 14775
2 22 77710
24 40 10308
7 27 38396
30 32 52141
14 17 14624
11 48 99041
6 35 87091
2 19 85097
36 48 98115
19 36 12937
8 32 59566
24 28 47437
14 48 54641
15 23 2377
41 45 59396
23 24 89710
45 49 65727
22 44 22362
9 24 45644
21 48 73175
30 42 70059
13 26 31988
11 27 8808
7 31 35888
15 30 65822
36 38 7920
7 15 19375
6 7 65079
3 43 21251
22 26 36082
23 36 93784
38 46 60767
44 45 13039
39 43 72956
19 38 95169
32 35 9437
18 32 7793
15 38 73381
12 42 57501
39 44 35220
21 39 95723
2 33 71635
22 50 23192
24 37 59640
44 46 47645
34 48 60541
15 24 17813
11 21 74246
3 34 71779
22 24 79573
25 26 5722
10 44 30456
20 38 36399
20 21 35185
41 47 33835
16 36 24440
36 41 72662
10 47 99960
20 25 67383
26 36 11768
13 38 32987
21 46 46224
16 31 31438
8 45 17842
26 29 36469
1 38 4467
9 13 44794
7 41 38665
16 44 34350
10 14 56162
22 49 51426
23 39 9553
4 21 74491
9 34 34336
21 41 54778
1 28 12761
16 28 18684
2 25 34384
23 47 31610
17 27 19531
31 37 97565
5 47 33886
1 33 98091
8 34 96994
15 17 33709
2 11 36831
40 44 76558
17 23 89163
29 47 61263
6 30 96730
10 17 72469
1 14 79377
19 45 16296
28 38 35961
28 33 17428
15 19 90657
29 37 67241
2 23 39814
8 35 55619
19 21 22685
26 30 6043
9 41 50472
25 50 96844
38 39 6356
32 41 24591
23 40 70
37 48 42659
7 34 45658
17 50 48390
22 25 1897
21 50 34471
19 23 43580
4 22 85755
35 36 68516
17 42 49402
3 10 14325
11 16 26112
4 29 19611
24 33 54882
22 31 3449
2 8 9434
18 19 48276
16 20 2891
15 31 87640
13 27 60163
14 19 73764
43 44 19907
7 16 50658
7 12 4503
29 32 41191
18 23 54625
3 27 95587
2 39 35382
9 11 8557
9 30 98320
8 30 88133
27 46 57398
17 29 35671
17 33 79316
6 8 55394
32 48 51775
5 10 10715
3 38 47570
1 4 4539
20 44 15333
26 33 51916
14 44 6946
25 30 90718
11 14 599
3 9 27471
33 46 43037
28 45 79050
24 36 17049
3 21 71712
26 38 76007
8 14 28348
1 3 23178
23 30 21053
6 41 97717
14 15 45992
2 14 7329
27 37 39097
22 29 86216
8 26 60618
18 28 34421
10 41 53904
11 29 79857
18 48 97406
11 31 77518
42 45 62165
15 43 15918
6 23 26071
32 34 59889
38 45 75632
1 17 41784
6 16 2003
5 46 91022
5 12 52185
12 13 42189
35 45 72686
50 996
3 27 18202
9 44 71701
1 47 47112
3 41 56747
7 37 46338
39 46 81596
35 40 39000
5 42 41111
26 47 55828
19 35 13452
24 30 75958
1 29 90733
6 30 14233
2 42 90821
22 43 96471
1 14 24791
10 20 89523
2 13 86993
33 42 33122
30 48 48034
3 8 89375
23 36 78633
31 34 57439
20 30 8653
8 19 10913
32 40 49417
40 43 30129
27 41 73507
25 29 81445
37 40 53828
4 28 90926
10 15 82219
15 37 45452
39 45 86749
7 20 71564
11 23 73111
1 8 46042
11 45 91824
26 38 12698
9 21 4203
9 37 85123
12 44 94703
22 33 75400
7 36 67833
5 38 79184
36 44 82321
6 33 12300
3 26 31700
8 44 30795
15 26 30522
24 29 37030
23 35 9073
19 41 91065
7 29 35454
14 19 59092
11 44 90486
29 35 86176
5 7 29124
1 25 25713
1 40 20500
8 25 96707
32 46 16680
22 48 65339
18 22 99879
43 44 58793
4 44 50465
7 26 62908
14 23 6780
33 39 64735
24 40 88023
9 43 93267
5 9 23005
17 44 99687
3 30 57553
32 33 1079
3 36 15065
33 36 76920
24 47 68796
34 47 77711
11 35 70756
22 42 81955
6 37 16705
9 16 46020
5 22 41947
35 43 557
21 36 99428
9 46 90896
5 45 33100
6 17 39765
9 15 31557
40 41 36679
10 39 35287
7 30 19769
9 48 10506
23 32 17512
5 8 14945
36 37 97021
3 32 85763
13 48 80705
20 44 41245
11 18 70138
5 48 40642
34 41 25156
10 21 834
28 39 94892
3 45 54906
13 45 38436
3 24 56879
35 47 70622
4 41 80129
7 35 67047
2 25 95296
39 43 79116
4 11 53445
7 42 43350
30 33 61728
23 40 92438
28 43 22457
3 13 69162
1 17 62943
30 38 14086
18 37 26028
27 34 6862
4 21 25665
2 38 64754
35 36 11798
6 34 18389
13 24 62360
19 45 37064
29 33 15674
32 47 17754
31 50 62742
43 47 49393
12 31 62006
13 34 58468
16 18 44711
38 41 36186
34 42 62501
6 49 83443
14 41 7016
11 16 51383
13 29 58249
23 31 52945
34 44 82077
19 49 48854
13 14 80425
26 46 14995
12 36 42413
23 37 44328
27 38 5114
31 32 82979
14 16 7116
45 47 60730
5 36 10603
26 39 30241
23 39 6959
18 28 43887
9 35 74918
2 43 74545
16 48 15021
26 37 51178
11 33 33921
11 24 30966
4 23 97660
21 37 54177
39 49 81956
3 25 48266
3 20 42060
18 44 97815
25 44 70559
1 10 81003
3 11 96581
1 4 89103
11 40 20003
2 21 42577
2 48 45340
21 49 20861
18 43 27978
10 44 69296
8 23 23600
3 31 4084
38 39 90728
21 38 45453
16 44 76500
20 25 65
1 36 56467
42 44 52757
2 47 30387
32 41 61527
22 32 89085
37 41 48173
6 14 91857
9 27 48427
2 46 29030
13 28 87236
1 35 89494
10 46 79992
21 30 90801
6 12 25055
16 29 13516
18 29 1203
15 35 63759
4 31 95899
15 39 62952
11 48 95589
12 16 86812
38 44 55250
26 45 27811
19 31 48788
27 49 86480
28 38 70353
17 31 30050
1 11 4557
3 48 70203
10 19 44563
24 50 72255
11 34 3655
21 39 26510
1 41 71050
2 41 60283
35 42 25670
7 48 48372
24 41 6569
16 34 20249
25 45 51533
21 47 33619
16 43 7362
18 27 44541
43 50 82264
30 47 16050
21 22 43998
16 23 86489
33 49 13417
4 6 16332
32 35 79596
1 3 43511
1 39 65599
6 22 42480
29 34 73382
4 9 31432
9 25 13496
31 36 10391
35 41 75331
23 34 33097
10 34 11687
6 31 95429
6 38 44
21 48 2243
8 12 48582
15 49 26841
6 32 78285
17 41 74515
29 42 4897
6 48 39426
17 19 32945
22 50 2457
4 12 51011
32 50 76007
11 22 86126
26 29 76994
30 42 95423
46 49 56672
18 40 71195
16 33 3264
9 34 83770
5 28 58335
12 22 79222
12 39 56297
1 6 13316
18 30 98619
17 24 28529
41 49 28313
4 17 68658
17 43 37756
2 15 7536
42 46 64694
26 33 43310
9 29 47361
3 17 81819
23 27 44050
6 50 72011
14 37 91473
5 46 54852
14 18 11161
27 42 43525
15 41 47931
5 17 61635
10 40 61524
39 40 96618
18 34 25589
25 33 98441
28 35 45433
34 45 38524
10 16 26296
33 44 32920
1 19 31534
4 26 99105
1 12 93122
20 41 22177
31 39 79091
13 18 7589
12 17 63777
14 49 85154
17 34 45570
32 45 82209
8 15 5323
38 50 32846
21 33 92648
21 32 54674
32 37 99544
2 20 5447
28 30 9099
2 11 79496
